subject,comment
67,"It was always a big inner ring that changed to the colour of the outside"
68,"The center circle was usually darker, and usually gradually lightened over time to match the surrounding background color.  Most of the time it seemed to radiate out fro the center, other times it seemed to swips from one edge to another, or happen quickly all at once."
69,"Center color took on color from the outside, kind of blended in, though I would see a ring before the color blended completely."
70,"Most of the time the centre circle would gradually fade into the same colour as the surrounding background although sometimes one side of the centre circle would fade before the other side. I also noticed that a sort of border would form around the center circle and make it look like a 3D bump on the screen"
71,"It faded out mostly to where the center looked like the outside section"
72,"Sometimes senter changed colour, sometimes background "
73,"i rarely saw the colours merge together"
74,"All of a sudden the entire screen appeared the same color as the outside."
75,"I could only see the illusion a few times, when I was staring at the mark in the centre, the background colour would sometimes change."
76,"The Outside or Center changed color either gradually or faded from the outside in,  or the inside out. The whole screen then was the same colour "
77,"I had the gentle ridge around the edge which faded away as the colours merged. Very tough one to analyse in moment, felt like the outer colour was changing sometimes and not on others!"
78,"focusing on the target then the circle disappearing "
79,"It would take time usually, most often the center part looks the same colour as the outside, but the edge remains a darker colour for a while, and then gradually fades to same colour."
80,"The edge of the circle faded"
81,"The centre colour would change seemingly randomly to match the outside background. Sometimes instantaniously sometimes in a sort of pattern starting from the middle."
82,"The colours were contrasting blues and did not change in the last part of the test. "
83,"I could only see about 2 where the colours became one"
84," MOST OF THE TIME IT DIDN'T - THE COLOURS NEVER BECAME THE SAME EXCEPT ONCE OR TWICE WHERE THEY WERE THE SAME FROM THE BEGINNING"
85,"the circle mostly seemed to be the art that changed colour except towards the end where the outside seemed to change as well"
86,"Initially could see both colours and then after a while of focusing on the middle the whole screen was one colour "
87,"I stared at the center dot and either the circle disappeared or did not, sometime the outside of the circle became the same color as the circle and sometimes the opposite"
88,"it was fading in and out"
89,"It was always the center that changed colour"
90,"I saw a much darker circle than usual and then it seemed to change to the lighter outer blue instantaneously"
91,"Appeared to change after a few seconds mostly"
92,"In most of them, it would start slow and then fade in, but sometimes it would take a few seconds for my eyes to relax into it."
93,"There was a dot in the middle with a blue ring around it and then the backround was a different shade of blue"
94,"the last illusion didn't work. some of them worked, some of them didn't. the ones that did things always faded into eachother over a period of time. the ones that didn't work, a few of them were all the same colour form the start, another few just didn't change colour into eachother"
95,"Unclearly and quite slowly, sometimes seemed to go back a little bit as well"
96,"It was mostly the blues merging into the darker color from the inside out"
97,"it was very much instant but sometimes faded"
98,"there was a dark ball in the center, but it didn't really change color, maybe even changed to be darker, rather than lighter"
99,"The center slowly changed to thr"
100,"The center circle slowly blended into the background rectangle"
101,"The outside and the centre circle changed colour at different rates"
102,"Appeared as though the blue inner deeper colour would fade out and get wider nearly ever time "
103,"Gradually and slowly - if at all"
104,"Inconsistently. A few times there was a very obvious equalisation of colours but most of the time it either didn't happen at all or I was less sure. The change faded in rather than being instantaneous - except once I think. The problem I has was that while waiting for the fade to complete to equalisation I sometimes blinked and the circle fully reappeared."
105,"After a few seconds, the outside would appear to meld into the middle circle until the whole image would be one color."
106,"no  evvect observed except when dot and background started same colour"
107,"weird?"
108,"it looked like the blue circle was fading into the background color for the most part"
109,"i noticed some movement"
110,""
111,"a series of blue discs on a blue background with the disc colours changing colour to match that of the background"
112,"It always seemed to occur very gradually."
113,"It was a dark blue circle on a medium blue background. The inner circle seemed to wobble around its edge before fading into the background."
114,"Mostly I could see a darker circle around the dot and then lighter blue around the rest of the screen."
115,"The centre circle would change colour to the same colour as the outside after a few seconds. It often appeared to start on one side and then spread across to the other."
116,"The darker colored circle would expand, a bit fuzzy and undefined. It grows slowly until the whole screen looks the same color."
117,"The centre was generally darker, and then faded to the background colour. If my gaze moved fractionally, or I blinked, sometimes darker edeges to the centre appeared, and then ligher edges - a bit like an eclipse."
118,"The color changed mostly from the inside then faded gradually to the outside though it happened for like a split second"
119,"As I stared at the center, the inner and outer color became the same."
120,"The inside circle seemed to fade to the lighter color on the outside, but in almost all cases I could still see the dark rim of the circle "
121,"A change from right to left"
122,"Contrast between shape and background slowly faded until there was no edge between the two"
123,"sometimes it took longer than others and appeared to fade in different directions"
124,"sometimes it took longer to see it and I had to focus a lot on the centre"
125,""
126,"very difficult to describe, but mostly like the centre was fading into the background colour, either from the edge of teh circle or in an upwards sweeping movement"
127,"most of the time the center seemed to fade to the color of the outside"
128,"Slowly with the adjustment of my eyes. almost like a singular bubble on bubble wrap to begin with until the colours were the same and it appeared flat"
129,"Most of them seemed to have the same visual result except the last one"
130,"I could see multiple small circles of various sizes after the last illusion."
131,"a blue background with a large circle of a different colour fading to the same colour as the background"
132,"almost felt like the colors blurred together."
133,"On only a few occasions the centre colour apperared to change to the outer colour"
134,"A circle that would either go in our out, it changed colors as time progressed each trial."
135,"It spread out from the middle and left spots in my eyes. Weirdo stuff."
136,"Sometimes, it is hard to know how the colour spread"
137,"Most of the time it seemed to be changing in the center and from the inside out. It was a difficult task but I put forth my best effort."
138,"I am unsure of what is meant by this question. The illusion occurred when the center circle typically faded into the background"
139,"the color progressively changed"
140,""
141,"Small disc was darker than full screen.  Any movement of eyes would stop the effect, but in general the smaller disc faded into the same colour as the background after a few seconds."
142,"Mostly the center circle just blends to the background, starting from one side to the other"
143,"Most of the time i would see a circule wround the center and it would close in and change to the same color as the outside. There were a few, however, that were the same color right away. "
144,"Stared at the center and waited for the center circle to match the color of the outside"
145,"From the centre outwards and spread out"
146,"Blue circle on a blue square"
147,"slowly mostly"
148,""
149,"Slowly at first however as I started to look at it more the effect began to occur more and quicker; It like the colour suddenly flicks from one shade to another. "
150,"faded over time "
151,"After staring at the centre for a few seconds, the centre circle sort of merged and became the same colour as the outer area."
152,"When staring at the center, the color generally started to spread across the screen from the center, making the whole screen the same color. Sometimes it seemed like the color changed fast, other times it seemed to fade to the same color over time. There was generally a progression from the center color to spreading across the whole screen. "
153,"dark blue circle in the middle, lighter blue outside. the outside generally got darker"
154,"i never saw any changes.  there were a few times when the entire screen was the same color"
155,"the change of colour slid diagonally across until the whole colour was the same"
156,"the center circle more often than not seemed to gradually fade and become the same colour as the main part of the screen when staring at the centre"
157,"Gradually"
158,"The colours slowly faded together."
159,"It took a few seconds for the illusion to appear. The more I did it the easier it became to see the illusion. It also left a lingering image in my vision after the illusion had concluded."
160,"A circle "
161,"The last time, it faded from the right lower corner to the top left corner. It had never done that before. This illusion is freaky! I would love to read your paper on it. Can you email it to alightalike@gmail.com for me please?"
162,"The outside would gradually become the same as the inside.  "
163,"a blue background with a slightly different blue circle in the middle with a crosshair in the middle. Either the background would change to the same colour as the centre, the centre would change to be the same colour as the background, or near the end, both parts changed to become a colour in the middle."
164,"Most of the time it I saw the outside changing and matching the colour of the circle in the center."
165,""
166,"centre mostly spread into background"
167,"the colours were mostly fading outwards from the circle."
168,"The middle circle was a darker shade of blue which after a couple of seconds spread across the screen making the entire screen the darker blue, which initially was a lighter shade  "
169,"it was a blue background with white dot in the middle"
170,"It seemed to fade in a clockwise direction"
171,"I saw it in almost every way, but usually it was starting from one side and moving across, whether that be diagonally or straight. If I shifted my eyes one side would change colors then change back. "
172,"The center part started disappering "
173,"when i stared at the center cross i could see the colors blend together either starting from the center circle or outside of it. Sometimes i would notice it getting darker and other times lighter and i could see movement within the colors as well as they were fading in or out."
174,"By watching carefully at the dot, it gave me the illusion of the color spreading out most of the times."
175,"It mostly appeared that the inner circle was the one to change/fade in most trials. I suspect that was simply my retinas reacting to staring at the same point continuously and the whole thing was an optical trick. "
176,"It usually starts with a big blue circle that's darker in the center then fades into the background color starting from left to right or up to down. "
177,"The circle in the middle would blur, and it seemed like the ring was stretching outward or rotating until it blended so well I couldn't tell where the circle ended and outside it began."
178,"The color starting changing the more I stared at the center. Some changed very slowly and at a noticable pace. Some changed quickly."
179,"The inside circle was a thick blue and it the color flowed to flow causing the outside to match."
180,"A darkening of the space around the circle, sometimes fast, sometimes slow and once or twice instant."
181,"It worked well, the circle would merge with the background and blend in"
182,"The color began matching the background. I stared into the middle, and depending on how it changed,  the colors would blend and I couldn't see the edge of the circle. The border between the two would disappear."
183,"blue circle in the centre of screen on slightly different colour blue background that would slowly fade away"
184,"A dark blue circle on a lighter blue background which sometimes faded and sometimes remained constant"
185,"The ring was slowly disappearing from one side to the other until the entire screen was the same color."
186,"It happened in a few different ways, and was usually a gradual change where parts would fade together, and then it would wash over the rest."
187,""
188,"dark circle in the middle"
189,"i think there was a circle faking contrast that moved to my blind spot"
190,"The illusion started with the circle staying roughly the same colour for a few seconds, and then starting to slowly fade in with the background and circle merging to the same colour. This happened at varying speeds, sometimes quickly and sometimes slowly. "
191,"The darker blue would slowly fade in"
192,"While staring at the center the circle in the middle would quite quickly start to fade into the surrounding color."
193,"It varied sometimes it appeared rapidly, but on most occasions it started to change and whilst i tried to retain focus on the centre it was as if the colours danced around the outside of the circle and my mind was questioning the change and forcing me to refocus."
194,"It started at the circle in the middle then it seemed it spread out from the center to be a solid color on my screen."
195,""
196,"The majority of the time moved across from one side to the other, the colour change was always around the centre rather than the outside. Once or twice there was no colour change."
197,"it varied but usually the lighter blue was the one that changed colour. typically the colour changed in a wave like pattern moving from one side of the screen to the other "
198,"the center spread to the outside"
199,"There was dark blue circle in the center and every time the outside area fade into this color."
200,"It always gradually faded away starting from different parts of the circle"
